Year_,WeekNum_,unit_price_Tetley_160_Decaff,unit_sales_Tetley_160_Decaff,Retailer Name__ASDA,Retailer Name__Tesco,unit_price_P G TIPS_160_Caff_lagged,unit_sales_P G TIPS_160_Caff_lagged,unit_price_P G TIPS_80_Caff_lagged,unit_sales_P G TIPS_80_Caff_lagged,unit_price_Tetley_160_Decaff_lagged,unit_sales_Tetley_160_Decaff_lagged,unit_price_Tetley_80_Decaff_lagged,unit_sales_Tetley_80_Decaff_lagged,unit_price_YORKSHIRE_160_Caff_lagged,unit_sales_YORKSHIRE_160_Caff_lagged,unit_price_YORKSHIRE_160_Decaff_lagged,unit_sales_YORKSHIRE_160_Decaff_lagged,unit_price_YORKSHIRE_80_Caff_lagged,unit_sales_YORKSHIRE_80_Caff_lagged,unit_price_YORKSHIRE_80_Decaff_lagged,unit_sales_YORKSHIRE_80_Decaff_lagged
2022,1,3.024432229,6913,TRUE,FALSE,3.418449388,46343,1.997096369,23109,2.998950899,11629,2.835955711,5148,3.49967739,32547,5.725840564,3688,2.987083971,20912,3.500850913,5641
2022,2,4.403662551,2430,TRUE,FALSE,3.419270656,29314,1.995668993,13184,3.024432229,6913,2.018104366,6573,3.531779123,13383,5.652736318,2613,2.982475738,19784,3.492049619,3547
2022,3,5.016644295,1490,TRUE,FALSE,3.417946858,41361,1.994649436,18185,4.403662551,2430,1.995603107,13646,4.975611461,2862,4.418858212,8548,3.043093236,27350,3.501284268,4049
2022,4,5.113536499,1411,TRUE,FALSE,3.388199034,33743,1.987045031,18765,5.016644295,1490,1.997032885,13380,5.379159734,2404,4.249444825,7295,3.02789835,23453,3.480626845,4403
2022,5,3.378484438,6651,TRUE,FALSE,3.409565789,36526,1.990562972,17230,5.113536499,1411,1.998478316,11829,5.355220505,5306,4.249608977,2941,3.071443118,24551,3.481770406,6089
2022,6,3.003500784,13397,TRUE,FALSE,3.716622412,38791,2.252827879,12253,3.378484438,6651,2.274135678,8417,4.20263556,17188,4.680747378,4576,3.02805218,27980,3.491899746,5506
2022,7,3.000686723,12232,TRUE,FALSE,4.421820913,29293,2.483056856,14950,3.003500784,13397,2.826498774,4487,3.513813012,11605,5.66898115,4191,2.977622873,28261,3.489647195,5187
2022,8,3.09768544,9073,TRUE,FALSE,4.442131539,27642,2.484274326,15179,3.000686723,12232,2.834071,4338,3.500438315,9354,5.725276596,3525,2.989525811,28069,3.500632036,5063
2022,9,3.435114841,4528,TRUE,FALSE,3.56398802,43741,2.227152759,15004,3.09768544,9073,2.299250798,8142,3.777387319,5236,5.723860182,2632,2.903958276,28952,3.498597025,5916
2022,10,3.259823982,4545,TRUE,FALSE,2.981151246,79427,2.2191536,11862,3.435114841,4528,1.997167298,14262,3.632003955,9102,5.593339002,3528,2.831019292,26332,3.368018375,6313
